ATTR,SCALAR,K
BA_3_25,100,7
BA_25_50,100,7
BA_50_75,100,7
BA_75_100,100,7
BA_GE_3,100,7
BA_GE_25,100,7
BA_GE_50,100,7
BA_GE_75,100,7
BA_GE_100,100,7
BAC_3_25,100,7
BAC_25_50,100,7
BAC_50_75,100,7
BAC_75_100,100,7
BAC_GE_3,100,7
BAC_GE_25,100,7
BAC_GE_50,100,7
BAC_GE_75,100,7
BAC_GE_100,100,7
BAC_PROP,10000,7
BAH_3_25,100,7
BAH_25_50,100,7
BAH_50_75,100,7
BAH_75_100,1000,7
BAH_GE_3,100,7
BAH_GE_25,100,7
BAH_GE_50,100,7
BAH_GE_75,1000,7
BAH_GE_100,1000,7
BAH_PROP,10000,7
BPH_3_25_CRM,0.1,7
BPH_25_50_CRM,0.01,7
BPH_50_75_CRM,0.01,7
BPH_75_100_CRM,0.01,7
BPH_GE_3_CRM,0.01,7
BPH_GE_25_CRM,0.01,7
BPH_GE_50_CRM,0.01,7
BPH_GE_75_CRM,0.01,7
BPH_GE_100_CRM,0.01,7
BPHC_3_25_CRM,0.1,7
BPHC_25_50_CRM,0.01,7
BPHC_50_75_CRM,0.01,7
BPHC_75_100_CRM,0.01,7
BPHC_GE_3_CRM,0.01,7
BPHC_GE_25_CRM,0.01,7
BPHC_GE_50_CRM,0.01,7
BPHC_GE_75_CRM,0.01,7
BPHC_GE_100_CRM,0.01,7
BPHH_3_25_CRM,0.1,7
BPHH_25_50_CRM,0.01,7
BPHH_50_75_CRM,0.01,7
BPHH_75_100_CRM,0.1,7
BPHH_GE_3_CRM,0.01,7
BPHH_GE_25_CRM,0.01,7
BPHH_GE_50_CRM,0.01,7
BPHH_GE_75_CRM,0.1,7
BPHH_GE_100_CRM,0.1,7
BPH_3_25_JENK,0.01,7
BPH_25_50_JENK,0.01,7
BPH_50_75_JENK,0.01,7
BPH_75_100_JENK,0.01,7
BPH_GE_3_JENK,0.01,7
BPH_GE_25_JENK,0.01,7
BPH_GE_50_JENK,0.01,7
BPH_GE_75_JENK,0.01,7
BPH_GE_100_JENK,0.01,7
BPHC_3_25_JENK,0.1,7
BPHC_25_50_JENK,0.01,7
BPHC_50_75_JENK,0.01,7
BPHC_75_100_JENK,0.01,7
BPHC_GE_3_JENK,0.01,7
BPHC_GE_25_JENK,0.01,7
BPHC_GE_50_JENK,0.01,7
BPHC_GE_75_JENK,0.01,7
BPHC_GE_100_JENK,0.01,7
BPHH_3_25_JENK,0.01,7
BPHH_25_50_JENK,0.01,7
BPHH_50_75_JENK,0.01,7
BPHH_75_100_JENK,0.1,7
BPHH_GE_3_JENK,0.01,7
BPHH_GE_25_JENK,0.01,7
BPHH_GE_50_JENK,0.01,7
BPHH_GE_75_JENK,0.1,7
BPHH_GE_100_JENK,0.1,7
BPH_GE_3_REG,0.001,7
BPHC_GE_3_REG,0.001,7
